iter	Passed	Remaining
0	140	139919
1	141	70473
2	142	47330
3	143	35675
4	144	28668
5	144	23998
6	145	20646
7	146	18140
8	147	16187
9	148	14658
10	149	13427
11	150	12413
12	152	11546
13	152	10770
14	154	10131
15	155	9560
16	157	9090
17	158	8644
18	159	8216
19	159	7835
20	160	7490
21	161	7172
22	162	6881
23	162	6613
24	163	6389
25	165	6191
26	166	6004
27	167	5822
28	168	5642
29	169	5472
30	169	5312
31	170	5163
32	171	5023
33	172	4889
34	172	4767
35	173	4652
36	174	4541
37	175	4438
38	176	4339
39	176	4243
40	178	4169
41	179	4090
42	180	4013
43	181	3939
44	182	3864
45	183	3795
46	184	3732
47	185	3669
48	186	3614
49	187	3555
50	187	3495
51	188	3437
52	189	3380
53	189	3327
54	190	3274
55	191	3229
56	192	3187
57	193	3141
58	194	3097
59	195	3055
60	195	3016
61	196	2974
62	197	2936
63	198	2899
64	198	2862
65	199	2828
66	200	2797
67	201	2763
68	202	2731
69	203	2698
70	203	2667
71	204	2636
72	205	2607
73	206	2580
74	207	2553
75	208	2532
76	209	2512
77	210	2487
78	211	2462
79	211	2436
80	212	2413
81	213	2389
82	213	2362
83	214	2339
84	215	2318
85	216	2297
86	216	2276
87	217	2256
88	218	2235
89	219	2214
90	219	2195
91	220	2176
92	221	2161
93	223	2153
94	224	2136
95	225	2120
96	225	2102
97	226	2086
98	227	2070
99	228	2054
100	229	2038
101	229	2023
102	230	2007
103	231	1992
104	232	1977
105	232	1963
106	233	1949
107	234	1936
108	235	1922
109	235	1907
110	239	1916
111	240	1905
112	241	1892
113	241	1879
114	242	1867
115	243	1854
116	243	1841
117	244	1828
118	245	1816
119	246	1805
120	246	1793
121	247	1780
122	248	1768
123	248	1756
124	249	1747
125	250	1738
126	251	1726
127	254	1734
128	255	1727
129	256	1717
130	257	1706
131	258	1696
132	258	1686
133	259	1676
134	260	1666
135	260	1657
136	261	1647
137	262	1638
138	262	1628
139	263	1619
140	264	1610
141	264	1600
142	265	1593
143	266	1584
144	269	1588
145	270	1582
146	271	1575
147	272	1566
148	272	1557
149	273	1549
150	274	1541
151	274	1533
152	275	1525
153	276	1517
154	276	1509
155	277	1501
156	278	1494
157	279	1487
158	280	1481
159	280	1474
160	281	1465
161	281	1458
162	283	1457
163	285	1453
164	285	1446
165	286	1440
166	287	1433
167	288	1427
168	289	1421
169	289	1415
170	290	1408
171	291	1401
172	292	1397
173	293	1391
174	294	1386
175	294	1379
176	295	1373
177	296	1367
178	296	1361
179	298	1359
180	299	1355
181	300	1349
182	301	1343
183	301	1338
184	302	1332
185	303	1326
186	303	1320
187	304	1315
188	305	1311
189	306	1306
190	307	1300
191	307	1294
192	308	1289
193	309	1283
194	309	1278
195	310	1274
196	311	1269
197	312	1265
198	314	1264
199	315	1260
200	316	1256
201	316	1251
202	317	1247
203	319	1246
204	320	1242
205	321	1237
206	321	1232
207	322	1227
208	323	1222
209	323	1217
210	324	1213
211	325	1208
212	325	1203
213	326	1199
214	328	1200
215	330	1198
216	331	1194
217	332	1192
218	333	1187
219	333	1183
220	334	1178
221	335	1174
222	335	1170
223	336	1166
224	337	1161
225	338	1157
226	338	1153
227	339	1149
228	340	1145
229	340	1140
230	341	1136
231	342	1133
232	343	1131
233	344	1129
234	346	1126
235	346	1122
236	347	1118
237	348	1114
238	349	1111
239	349	1108
240	350	1104
241	351	1100
242	352	1097
243	353	1094
244	354	1091
245	354	1087
246	355	1084
247	356	1080
248	357	1077
249	358	1074
250	359	1073
251	360	1069
252	360	1065
253	361	1062
254	362	1058
255	363	1055
256	364	1052
257	364	1049
258	365	1046
259	366	1042
260	367	1039
261	367	1036
262	368	1032
263	369	1029
264	370	1026
265	370	1023
266	371	1019
267	372	1016
268	373	1015
269	374	1013
270	375	1009
271	375	1006
272	376	1003
273	377	999
274	377	996
275	378	993
276	379	990
277	380	987
278	380	984
279	381	981
280	382	978
281	382	975
282	383	972
283	384	969
284	385	965
285	385	963
286	386	960
287	387	959
288	389	957
289	390	954
290	390	952
291	391	949
292	392	946
293	393	943
294	393	941
295	394	938
296	395	935
297	396	932
298	396	930
299	397	927
300	398	924
301	398	921
302	399	918
303	400	916
304	401	914
305	402	912
306	405	914
307	406	912
308	406	909
309	407	907
310	408	904
311	409	901
312	409	899
313	410	896
314	411	894
315	412	892
316	413	891
317	414	889
318	415	886
319	416	884
320	416	881
321	417	879
322	419	879
323	420	877
324	421	875
325	422	873
326	423	870
327	424	868
328	424	866
329	425	864
330	426	862
331	427	859
332	428	857
333	428	855
334	429	853
335	430	850
336	431	848
337	432	846
338	433	845
339	435	845
340	436	842
341	436	840
342	437	838
343	438	836
344	439	833
345	440	832
346	441	831
347	442	829
348	443	827
349	444	825
350	445	823
351	446	821
352	447	820
353	449	821
354	451	819
355	451	817
356	452	815
357	453	813
358	454	811
359	455	810
360	456	808
361	457	805
362	457	803
363	458	801
364	459	799
365	459	796
366	460	794
367	461	792
368	462	790
369	463	789
370	465	788
371	466	786
372	466	784
373	467	782
374	468	780
375	469	779
376	470	777
377	471	775
378	471	773
379	472	771
380	473	768
381	473	766
382	474	764
383	475	762
384	476	760
385	477	758
386	478	757
387	479	756
388	480	754
389	481	753
390	482	751
391	483	749
392	484	747
393	485	746
394	485	744
395	486	742
396	487	740
397	488	738
398	488	736
399	489	734
400	490	732
401	490	730
402	491	728
403	493	727
404	494	726
405	495	725
406	496	723
407	497	721
408	497	719
409	498	717
410	499	715
411	500	713
412	500	712
413	501	710
414	502	708
415	503	706
416	503	704
417	504	702
418	505	700
419	506	698
420	506	697
421	512	702
422	514	701
423	517	702
424	518	700
425	519	699
426	519	697
427	520	695
428	521	693
429	522	692
430	523	691
431	525	691
432	527	690
433	528	689
434	529	688
435	530	686
436	531	684
437	532	682
438	532	680
439	533	679
440	534	677
441	534	675
442	535	673
443	536	672
